frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
0,0,0,0,0.000000,12.500000,normal,20000000
1,21086248,21086248,0,0.000000,12.500000,normal,20000000
2,21086282,21086282,38080000,0.000000,12.500000,normal,20000000
3,21086315,21086315,26188235,-0.000000,12.500000,normal,20000000
4,21086349,21086348,26133333,-0.001882,12.500000,normal,20000000
5,21086382,21086382,23063704,0.000062,6.000000,normal,20000000
6,21086415,21086415,23800000,-0.001875,6.000000,normal,20000000
7,21086449,21086448,22011881,-0.002288,6.000000,normal,20000000
8,21086482,21086482,22685957,0.000151,6.000000,normal,20000000
9,21086515,21086515,21564179,-0.001635,6.000000,normal,20000000
10,21086549,21086548,22066225,-0.001938,6.000000,normal,20000000
11,21086582,21086582,21229851,0.000226,6.000000,normal,20000000
12,21086615,21086615,21730435,-0.001931,6.000000,normal,20000000
13,21086648,21086648,21059352,-0.002143,6.000000,normal,20000000
14,21086682,21086682,21447356,-0.001922,6.000000,normal,20000000
15,21086715,21086715,20892308,-0.002105,6.000000,normal,20000000
16,21086748,21086748,21282236,-0.001913,6.000000,normal,20000000
17,21086782,21086782,20767103,-0.002075,6.000000,normal,20000000
18,21086815,21086815,21118310,-0.001904,6.000000,normal,20000000
19,21086849,21086848,20669767,-0.002049,6.000000,normal,20000000
20,21086882,21086882,20988976,0.000574,6.000000,normal,20000000
21,21086915,21086915,20958084,-0.001826,6.000000,normal,20000000
22,21086948,21086948,20610556,-0.001821,6.000000,normal,20000000
23,21086982,21086982,20860952,0.000614,6.000000,normal,20000000
24,21087015,21087015,20547917,-0.001639,6.000000,normal,20000000
25,21087049,21087048,20780050,-0.002061,6.000000,normal,20000000
26,21087082,21087082,20495329,0.000972,6.000000,normal,20000000
27,21087115,21087115,20735484,-0.002048,6.000000,normal,20000000
28,21087149,21087148,20450554,-0.001923,6.000000,normal,20000000
29,21087182,21087182,20675080,0.000804,6.000000,normal,20000000
30,21087215,21087215,20433058,-0.001775,6.000000,normal,20000000
31,21087249,21087248,20003200,-0.002129,6.000000,normal,20000000
32,21087282,21087282,19779200,0.001125,6.000000,normal,20000000
33,21087315,21087315,20003200,-0.002117,6.000000,normal,20000000
34,21087349,21087348,19779200,-0.002015,6.000000,normal,20000000
35,21087382,21087382,20003200,0.001005,6.000000,normal,20000000
36,21087415,21087415,19779200,-0.001890,6.000000,normal,20000000
37,21087449,21087448,20003200,-0.002201,6.000000,normal,20000000
38,21087482,21087482,19779200,0.001304,6.000000,normal,20000000
39,21087515,21087515,20003200,-0.002189,6.000000,normal,20000000
40,21087548,21087548,19902400,-0.002103,6.000000,normal,20000000
41,21087582,21087582,20003200,-0.002174,6.000000,normal,20000000
42,21087615,21087615,20003200,-0.002091,6.000000,normal,20000000
43,21087648,21087648,19790400,-0.002083,6.000000,normal,20000000
44,21087682,21087682,20003200,-0.002153,6.000000,normal,20000000
45,21087715,21087715,19790400,-0.002070,6.000000,normal,20000000
46,21087748,21087748,20003200,-0.002137,6.000000,normal,20000000
47,21087782,21087782,19790400,-0.002057,6.000000,normal,20000000
48,21087815,21087815,20003200,-0.002121,6.000000,normal,20000000
49,21087848,21087848,20372800,-0.002043,6.000000,normal,20000000
50,21087882,21087882,20003200,-0.002105,6.000000,normal,20000000
51,21087915,21087915,19779200,-0.002028,6.000000,normal,20000000
52,21087948,21087948,20171200,-0.002088,6.000000,normal,20000000
53,21087982,21087982,19779200,-0.002013,6.000000,normal,20000000
54,21088015,21088015,20003200,-0.002071,6.000000,normal,20000000
55,21088048,21088048,20171200,-0.001998,6.000000,normal,20000000
56,21088082,21088082,20003200,0.002112,6.000000,normal,20000000
57,21088115,21088115,19779200,-0.001915,6.000000,normal,20000000
58,21088148,21088148,20664000,-0.002177,6.000000,normal,20000000
59,21088182,21088182,19779200,-0.001902,6.000000,normal,20000000
60,21088215,21088215,20003200,-0.002158,6.000000,normal,20000000
